user_id,event_time,event_type,used_choptrack,used_chopguide,first_event_time,days_since_first,retained_7d
1,2025-02-21 11:00:00,view_recipe,False,False,2025-02-21 11:00:00,0,False
1,2025-02-22 10:00:00,use_choptrack,True,False,2025-02-21 11:00:00,0,False
1,2025-02-24 17:00:00,view_recipe,False,False,2025-02-21 11:00:00,3,False
1,2025-02-25 18:00:00,save_recipe,False,False,2025-02-21 11:00:00,4,False
1,2025-03-03 12:00:00,login,False,False,2025-02-21 11:00:00,10,True
1,2025-03-05 13:00:00,view_recipe,False,False,2025-02-21 11:00:00,12,True
1,2025-03-10 09:00:00,logout,False,False,2025-02-21 11:00:00,16,True
1,2025-03-13 18:00:00,use_choptrack,True,False,2025-02-21 11:00:00,20,True
1,2025-03-18 01:00:00,view_recipe,False,False,2025-02-21 11:00:00,24,True
1,2025-03-18 04:00:00,use_choptrack,True,False,2025-02-21 11:00:00,24,True
1,2025-03-18 06:00:00,use_choptrack,True,False,2025-02-21 11:00:00,24,True
1,2025-03-18 16:00:00,use_chopguide,False,True,2025-02-21 11:00:00,25,True
1,2025-03-23 06:00:00,login,False,False,2025-02-21 11:00:00,29,True
1,2025-03-24 09:00:00,view_recipe,False,False,2025-02-21 11:00:00,30,True
1,2025-03-25 07:00:00,use_choptrack,True,False,2025-02-21 11:00:00,31,True
1,2025-03-28 08:00:00,save_recipe,False,False,2025-02-21 11:00:00,34,True
1,2025-03-30 09:00:00,use_choptrack,True,False,2025-02-21 11:00:00,36,True
2,2025-01-17 13:00:00,login,False,False,2025-01-17 13:00:00,0,False
2,2025-01-22 08:00:00,logout,False,False,2025-01-17 13:00:00,4,False
2,2025-01-24 00:00:00,use_chopguide,False,True,2025-01-17 13:00:00,6,False
2,2025-01-26 14:00:00,view_recipe,False,False,2025-01-17 13:00:00,9,True
2,2025-01-31 12:00:00,logout,False,False,2025-01-17 13:00:00,13,True
2,2025-02-08 19:00:00,use_choptrack,True,False,2025-01-17 13:00:00,22,True
2,2025-02-13 02:00:00,view_recipe,False,False,2025-01-17 13:00:00,26,True
2,2025-02-14 08:00:00,view_recipe,False,False,2025-01-17 13:00:00,27,True
2,2025-02-20 02:00:00,login,False,False,2025-01-17 13:00:00,33,True
2,2025-02-20 08:00:00,login,False,False,2025-01-17 13:00:00,33,True
2,2025-02-27 10:00:00,use_choptrack,True,False,2025-01-17 13:00:00,40,True
2,2025-03-10 00:00:00,use_choptrack,True,False,2025-01-17 13:00:00,51,True
2,2025-03-12 21:00:00,login,False,False,2025-01-17 13:00:00,54,True
2,2025-03-14 00:00:00,save_recipe,False,False,2025-01-17 13:00:00,55,True
